Frequency,한국어,English
,다음,next
,다음날,next day
,다이어트,diet
,다치다,hurt 
,다하다,fulfill
,닦다,polish 
,단순,simple 
,단어,word
,단추,button 
,단풍,autumn leaves 
,닫다,close
,달,month 
,달걀,egg
,달다,sweet
,달력,calendar
,달리기,running
,달리다,run 
,닭,chicken
,닭고기,chicken meat
,닮다,resemble
,담배,"tobacco, cigar"
,답,answer
,답답하다,stuffy
,답장,reply
,대,(unit of machines)
,대구,Daegu 
,대답,answer
,대부분,most
,대사관,embassy
,대전,Daejeon 
,대학,university 
,대학교,university
,대학생,college student
,대학원,graduate school
,대화,conversation 
,대회,competition 
,댁,home 
,더,more
,더럽다,dirty
,더욱,"more, even"
,덕분,thanks 
,던지다,throw
,덥다,hot 
,데려가다,take
,데려오다,bring
,데이트,date
,도,degree
,도로,road 
,도서관,library
,도시,city ​​
,도와주다,help
,도움,help
,도착,arrival
,독서,reading 
,독일,Germany
,돈,money 
,돈가스,pork cutlet
,돌,stone 
,돌다,spin
,돌려주다,"give back, return"
,돌리다,turn 
,돌아가다,"rotate, return"
,돌아오다,come back
,돕다,help
,동네,"town, local"
,동대문,Dong Dae Moon
,동물,animal
,동물원,zoo
,동생,brother 
,동시,simultaneous
,동안,while 
,동전,coin
,동쪽,east
,돼지,pig
,돼지고기,pork
,되다,become 
,-되다,be (passive)
,된장,soybean paste
,된장찌개,soybean paste stew
,두,two
,두껍다,thick
,두다,put 
,두부,tofu
,두세,two to three
,두통,headache
,둘,two 
,둘째,second
,뒤,back 
,뒤쪽,(direction) back 
,드디어,finally
,드라마,drama
,드리다,give 
,듣다,listen 
,들다,cost
,들다,lift 
,들르다,drop by
,들리다,hear 
,들어가다,enter
,들어오다,come into
,등,(body) back
,등산,climbing
,디자인,design
,따뜻하다,warm
,따로,separately
,딸,daughter 
,딸기,strawberry
,땀,sweat 
,땅,land 
,때,when 
,떠나다,leave
,떠들다,talk 
,떡,rice cake 
,떡국,Rice cake soup
,떡볶이,"Tteokbokki, rice cake"
,떨어지다,"drop, fall"
,또,again 
,또는,or
,똑같다,same
,똑같이,same
,똑똑하다,smart
,똑바로,straight
,뚱뚱하다,fat
,뛰다,run 
,뛰어가다,run
,뜨겁다,hot
,뜨다,open (eye)
,뜻,meaning
,라디오,radio
,라면,Ramen 
,러시아,Russia
,레스토랑,restaurant
,마당,yard
,마르다,dry
,마리,(unit of animals)
,마시다,drink
,마을,village 
,마음,heart 
,마중,meet
,마지막,last
,마치다,"finish, end"
,마트,mart
,마흔,forty
,막걸리,"Makgeolli, rice wine"
,막히다,blocked
,만,ten thousand
,만나다,meet
,만두,dumpling 
,만들다,make
,만약,what if
,만일,just in case
,만지다,touch
,만화,cartoon 
,많다,many
,많이,a lot of
,말,"talk, speak"
,말,horse 
,말,end
,말다,stop
,말레이시아,Malaysia
,말씀,words
,맑다,clear 
,맛,taste 
,맛없다,not delicious
,맛있다,delicious
,맞다,right 
,맞추다,"guess, adjust"
,매년,every year
,매다,"tie, fasten"
,매달,medal
,매우,very 
,매일,everyday
,매주,weekly 
,매표소,ticket box
,맥주,beer
,맵다,spicy
,머리,head 
,머리카락,hair
,먹다,eat 
,먼저,first
,멀다,far 
,멀리,far 
,멈추다,stop
,멋,fashion 
,멋있다,cool
,메뉴,menu
,메다,carry
,메모,memo
,메시지,message
,메일,mail
,며칠,several days
,명,person
,명절,holiday
,몇,"some, several"
,모기,mosquito 
,모두,all 
,모든,every
,모레,day after tomorrow
,모르다,don't know
,모습,appearance
,모시다,look after
,모양,shape 
,모으다,gather (sth)
,모이다,be gathered
,모임,meeting
,모자,hat
,모자라다,insufficient
,목,neck
,목걸이,necklace 
,목도리,scarf
,목소리,voice
,목요일,thursday
,목욕,bath
,목욕탕,bathhouse
,목적,purpose
,몸,body 
,못,can't
,못생기다,ugly
,못하다,can't do
,몽골,Mongolia
,무,radish
,무겁다,heavy
,무게,weight
,무궁화,Mugunghwa
,무료,free
,무릎,knee
,무섭다,scary
,무슨,what
,무엇,"what, anything"
,무척,very 
,문,door 
,문제,problem
,문화,culture
,묻다,ask 
,물,water 
,물건,thing
,물고기,fish
,물론,of course
,물어보다,ask
,뭐,what
,미국,USA
,미끄러지다,slip
,미래,future
,미리,in advance 
,미술관,art gallery
,미안,sorry 
,미역국,seaweed soup
,미용실,beauty salon
,미터,meter
,믿다,"trust, believe"
,밀가루,flour
,밀다,push 
,밑,bottom 
,바깥,outside
,바깥쪽,the outside
,바꾸다,change (something)
,바뀌다,be changed
,바나나,banana
,바다,ocean
,바닥,floor 
,바닷가,beach
,바라다,hope 
,바라보다,look at
,바람,wind 
,바로,right 
,바르다,apply (location)
,바쁘다,busy
,바이올린,violin
,바지,pants 
,박물관,museum
,박수,"applause, clap"
,밖,outside
,반,half
,반,class 
,반갑다,"glad, welcome"
,반대,the opposite
,반드시,"certainly, definitely"
,반바지,shorts
,반지,ring 
,반찬,side dish
,받다,receive 
,받아쓰다,dictate
,발,foot 
,발가락,toes
,발바닥,sole
,밝다,bright
,밤,night 
,밥,"rice, meal"
,방,room 
,방금,just 
,방문,door 
,방문,visit
,방법,"way, method"
,방송,broadcast
,방송국,broadcast station
,방학,vacation
,방향,direction 
,배,belly
,배,ship 
,배,pear
,배,(two) times
,배달,delivery 
,배드민턴,badminton
,배우,actor 
,배우다,learn 
,배추,cabbage 
,배탈,stomachache 
,백,one hundred 
,백만,million
,백화점,department store
,뱀,snake
,버릇,habit
,버리다,throw away 
,버스,bus 
,번,number 
,번째,(number)-th
,번호,number 
,벌,(unit of clothes)
,벌다,earn 
,벌써,already
,벗다,Take off
,베트남,Vietnam
,벽,wall 
,변하다,change
,변호사,lawyer
,별,star
,별로,not very 
,병,"sick, disease"
,병,bottle 
,병문안,visit (a sick person)
,병원,hospital 
,보내다,send
,보다,"see, watch"
,보다,more
,보라색,purple
,보이다,be seen
,보이다,show
,보통,"usually, average"
,복습,review
,복잡하다,complex
,볶다,fry
,볶음밥,fried rice
,볼펜,ballpoint pen 
,봄,spring 
,봉투,envelope 
,뵙다,(honorific) meet
,부끄럽다,embarrassed
,부드럽다,soft
,부럽다,envy
,부르다,call 
,부르다,full
,부모님,parents
,부부,couple 
,부분,part 
,부산,Busan 
,부엌,kitchen
,부인,wife 
,부자,the rich
,부장,manager
,부족,lack 
,부지런하다,diligent
,부치다,send 
,부탁,request
,북쪽,north
,분,person
,분,minute
,분명하다,clear 
,분식,"bunsik, snacks "
,분위기,atmosphere
,분홍색,pink
,불,fire 
,불고기,bulgogi (food)
,불다,blow 
,불쌍하다,pitiful
,불안,anxiety 
,불편,discomfort 
,붉다,red 
,붙다,"stick, paste"
,붙이다,"stick, paste"
,블라우스,blouse
,비,rain 
,비교,comparison
,비누,soap
,비다,empty
,비디오,video
,비밀,secret
,비빔밥,bibimbap (mixed rice)
,비슷하다,similar
,비싸다,expensive
,비행기,airplane
,빌딩,building
,빌리다,borrow
,빠르다,fast
,빠지다,fall in
,빨간색,read color
,빨갛다,red
,빨다,"wash, clean"
,빨래,wash
,빨리,hurry
,빵,bread 
,빵집,bakery
,빼다,"subtract, remove"
,뽑다,pull out
,사,four
,사거리,intersection
,사계절,four seasons
,사고,accident 
,사과,apple 
,사귀다,date
,사다,buy
,사람,person
,사랑,love 
,사무실,office
,사실,fact
,사십,fourty
,사업,business
,사용,usage
,사월,April 
,사이,between 
,사이다,cider (beverage)
,사이즈,size 
,사장,president 
,사전,dictionary 
,사진,picture 
,사탕,candy 
,사흘,three days
,산,mountain 
,산책,walk
,살,weight
,살,year old
,살다,live 
,삼,three
,삼거리,3-way intersection
,삼겹살,pork belly
,삼계탕,samgyetang (food)
,삼십,thirty
,삼월,March
,삼촌,uncle
,상,award
,상자,box 
,상처,wound 
,상추,lettuce 
,상품,product
,새,bird 
,새,new
,새로,newly
,새롭다,"new, fresh"
,새벽,dawn 
,새해,new year
,색,color 
,색깔,color
,샌드위치,sandwich
,생각,thought 
,생각나다,think of
,생기다,be formed
,생선,fish
,생신,(honorific) birthday 
,생일,birthday 
,생활,life
,샤워,shower
,서너,three or four
,서다,stand 
,서두르다,hurry
,서랍,drawer
,서로,each other 
,서류,document
,서른,thirty
,서비스,service
,서양,western
,서울,Seoul 
,서점,bookstore 
,서쪽,west
,섞다,mix
,선물,gift 
,선배,senior
,선생님,teacher
,선선하다,cool 
,선수,player 
,선택,select
,선풍기,fan
,설거지,dish wash
,설날,(Lunar) New Year
,설렁탕,(food) seolleongtang
,설명,explanation
,설탕,sugar
,섬,island
,섭섭하다,"sorry, regrettable"
,성,family name
,성격,personality 
,성공,success
,성적,grade 
,성함,name
,세,three
,세,age
,세계,world 
,세다,strong
,세배,New year's bow
,세상,world 
,세수,wash up
,세우다,stand 
,세탁,laundry
,세탁기,washing machine
,세탁소,"laundry, washhouse"
,센터,center
,센티미터,centimeter
,셋,three
,셋째,third
,소,cow
,소개,introduction 
,소고기,beef
,소금,salt 
,소리,sound 
,소설,novel 
,소식,news 
,소주,soju (beverage)
,소중하다,precious
,소파,sofa 
,소포,parcel
,소풍,picnic 
,소화제,digestive medicine
,속,inside
,속도,speed 
,속옷,underwear
,손,hand 
,손가락,finger
,손녀,granddaughter
,손님,guest
,손바닥,palm
,손수건,handkerchief
,송편,songpyeon (cake)
,쇼핑,shopping
,수,number 
,수건,towel
,수고,hard work 
,수박,watermelon 
,수술,surgery 
,수업,lesson
,수영,swimming 
,수영복,swimsuit
,수영장,swimming pool
,수요일,Wednesday
,수저,spoon 
,수첩,notebook 
,숙제,homework 
,순두부찌개,tofu stew (food)
,순서,order
,숟가락,spoon 
,술,alcohol 
,술집,bar
,숫자,number
,쉬다,rest 
,쉬다,breathe
,쉰,fifty 
,쉽다,easy
,슈퍼마켓,supermarket
,스무,twenty
,스물,twenty
,스스로,oneself
,스웨터,sweater
,스카프,scarf
,스케이트,skate
,스키,ski
,스키장,ski resort
,스타,star
,스트레스,stress
,스파게티,pasta
,스포츠,sports
,슬퍼하다,sorrow
,슬프다,sad
,슬픔,sadness
,습관,habit
,시,city
,시,hour
,시간,time 
,시간표,schedule
,시계,watch 
,시골,countryside
,시끄럽다,noisy
,시내,downtown 
,시다,"sour, acidic"
,시민,citizen
,시어머니,mother-in-law
,시원하다,cool
,시월,October 
,시작,start
,시장,market
,시청,city hall
,시키다,ask someone to
,시험,exam
,식구,family member
,식다,"cool off, get cold "
,식당,restaurant
,식빵,bread
,식사,meal 
,식초,vinegar
,식탁,table
,식품,food
,신다,put on
,신랑,groom 
,신문,newspaper 
,신발,shoes
,신부,bride 
,신분증,ID card
,신선하다,fresh 
,신청,application 
,신호,signal 
,신호등,traffic light
,신혼여행,honeymoon
,싣다,load 
,실례,excuse 
,실수,mistake 
,실패,failure 
,싫다,hate
,싫어하다,dislike
,심다,plant 
,심심하다,bored 
,심하다,severe
,십,ten
,십만,hundred thousand
,십이월,December
,십일월,November
,싱겁다,bland
,싸다,wrap
,싸다,cheap
,싸우다,fight
,쌀,rice
,쌀쌀하다,cold
,쌓다,stack
,썰다,cut 
,쓰다,write 
,쓰다,wear
,쓰다,use
,쓰다,bitter
,쓰레기,garbage
,쓰레기통,trash can
,씨,"Mr, Mrs"
,씹다,chew
,씻다,wash
,아,Ah 
,아가씨,Miss
,아기,baby 
,아까,a while ago
,아나운서,announcer
,아내,wife 
,아니,no 
,아니다,not
,아니요,no
,아들,son
,아래,below 
,아래쪽,down
,아르바이트,part-time
,아름답다,beautiful
,아마,maybe 
,아무,"no (one, where…)"
,아무것,anything
,아무리,no matter how
,아버님,father
,아버지,father
,아빠,dad
,아이,child 
,아이스크림,ice cream
,아저씨,mister
,아주,very 
,아주머니,old lady
,아줌마,madam
,아직,yet 
,아침,morning
,아파트,apartment
,아프다,sick
,아홉,nine
,아흔,ninety
,악기,musical instrument 
,안,inside
,안,not
,안개,fog
,안경,glasses 
,안내,information
,안내문,notice
,안녕,hi
,안녕히,bye
,안다,"hug, hold"
,안되다,not
,안전,safety 
,안쪽,inside
,앉다,sit
,알다,know
,알리다,inform
,알맞다,fit
,알아보다,inquire
,앞,front
,앞쪽,front
,애,"child, kid"
,애인,lover 
,앨범,album
,야,night 
,야구,baseball
,야채,vegetable
,약,about 
,약,medicine
,약간,slightly
,약국,pharmacy
,약사,pharmacist 
,약속,promise
,약하다,weak 
,얇다,thin
,양말,socks 
,양복,suit 
,양식,form
,양식집,Western food
,양치질,brushing teeth
,얘기,story
,어,Oh 
,어깨,shoulder 
,어느,which 
,어둡다,dark
,어디,where 
,어떠하다,how about
,어떤,which
,어떻다,how
,어렵다,difficult
,어른,adult
,어리다,young 
,어린아이,a child
,어린이,child 
,어머니,mother 
,어머님,mother
,어서,quickly
,어울리다,"socialize, hang out"
,어제,yesterday 
,어젯밤,yesternight
,억,one hundred million
,언니,sister
,언어,language 
,언제,when 
,언제나,always
,얻다,"get, gain"
,얼굴,face 
,얼다,freeze 
,얼마,how much
,얼마나,how much
,얼음,ice 
,엄마,Mom
,없다,no 
,엉덩이,butt
,에어컨,air conditioner
,엘리베이터,elevator
,여권,passport 
,여기,here 
,여기저기,here and there
,여덟,eight
,여동생,younger sister
,여든,eighty
,여러,various
,여러분,everyone
,여름,summer 
,여보세요,hello
,여섯,six
,여성,female 
,여자,woman 
,여쭙다,(honorific) ask
,여학생,female student
,여행,travel 
,여행사,travel agency
,여행지,travel destination
,역,station 
,역사,history 
,역시,"too, also"
,연결,connection 
,연극,theater
,연락,contact 
,연락처,contact
,연말,year-end 
,연세,age
,연습,practice
,연예인,celebrity
,연필,pencil
,연휴,holiday 
,열,ten
,열,fever
,열다,(sb) open (sth)
,열리다,(sth) open
,열쇠,key
,열심히,hard
,열차,train 
,열흘,ten days
,엽서,postcard 
,영,zero 
,영국,UK
,영수증,receipt
,영어,English 
,영하,sub-zero
,영화,movie 
,영화관,cinema 
,영화배우,movie actor
,옆,next
,옆집,next door
,예,example 
,예매,"book, reservation"
,예쁘다,pretty
,예순,sixty
,예술,art
,예습,preparation
,예약,reservation
,옛,old 
,옛날,long ago
,오,five
,오늘,today
,오다,come 
,오래,long 
,오래간만,long time no see
,오래되다,get old
,오랜만,long time
,오랫동안,for a long time
,오렌지,orange
,오르다,increase
,오른손,right hand
,오른쪽,right side
,오빠,brother
,오십,fifty
,오월,May 
,오이,cucumber 
,오전,"am, morning"
,오후,"pm, afternoon"
,온도,temperature
,올라가다,"go up, climb"
,올라오다,come up
,올리다,raise 
,올림,Sincerely yours
,올림픽,Olympic
,올해,this year
,옳다,right 
,옷,clothes 
,옷걸이,hanger
,옷장,wardrobe 
,와,wow 
,와이셔츠,dress shirt
,완전히,completely
,왕,king
,왜,why
,왜냐하면,because
,외국,foreign
,외국어,foreign language
,외국인,foreigner
,외롭다,lonely
,외우다,memorize 
,외출,outing
,왼손,left hand
,왼쪽,left
,요금,fee
,요리,cooking
,요리사,chef
,요일,day of week
,요즘,nowadays
,우동,udon (food)
,우리,"our, we"
,우리나라,our country
,우산,umbrella 
,우선,"first, above all"
,우유,milk 
,우체국,post office
,우표,stamp
,운동,"exercise, sports"
,운동복,sportswear
,운동장,playground
,운동화,running shoes
,운전,driving
,운전사,driver
,울다,cry 
,울산,Ulsan 
,울음,crying
,움직이다,move
,웃다,laugh
,웃음,laugh
,원,won
,원피스,one piece (dress)
,원하다,want 
,월,month
,월급,salary
,월요일,Monday
,위,above 
,위쪽,"topside, upward"
,위치,position 
,위험,danger
,유리,glass 
,유명,famous 
,유월,June 
,유치원,kindergarten
,유학,study abroad
,유학생,international student
,유행,fashion 
,육,six
,육교,overpass 
,육십,sixty
,윷놀이,yut play
,은행,bank 
,음,Uh
,음료,beverage
,음료수,drink
,음식,food
,음식점,restaurant
,음악,music 
,음악가,musician
,응,yes 
,의미,meaning
,의사,doctor 
,의자,chair 
,이,tooth
,이,this
,이,two
,이거,this 
,이것,this
,이곳,this place
,이기다,win 
,이날,on this day
,이다,to be
,이따가,later
,이때,at this time
,이런,this
,이렇다,like this
,이르다,early 
,이름,name
,이마,forehead 
,이모,aunt
,이미,already
,이번,this time 
,이분,this person
,이불,quilt 
,이사,move (house)
,이삿짐,moving
,이상,above 
,이상,"strange, unusual"
,이십,twenty
,이야기,story
,이용,use 
,이웃,neighborhood
,이월,February 
,이유,reason
,이전,previous
,이제,now
,이쪽,this 
,이틀,two days 
,이해,understanding 
,이후,after 
,익다,ripe 
,익숙하다,be used to
,인기,popularity 
,인도네시아,Indonesia
,인분,servings
,인사,greetings 
,인삼,ginseng
,인정받다, be recognized
,인천,Incheon 
,인터넷,internet
,인형,doll 
,일,work
,일,one
,일,day
,일곱,seven
,일기,diary
,일본,Japan 
,일부,part 
,일식,Japanese food 
,일식집,Japanese restaurant
,일어나다,wake up
,일어서다,stand up
,일요일,Sunday
,일월,January 
,일주일,one week
,일찍,early
,일흔,seventy
,읽다,Ready
,잃다,lose
,잃어버리다,lose (regretfully)
,입,mouth
,입구,entrance 
,입다,wear 
,입술,lips
,입원,hospitalization 
,입장권,admission ticket
,입학,admission
,입학시험,entrance exam
,있다,"be at, have"
,잊다,forget
,잊어버리다,forget (regretfully)
,잎,leaf 
,자기소개,self-introduction
,자꾸,repeatedly
,자다,sleep 
,자동차,car
,자동판매기,vending machine
,자라다,grow up 
,자랑,proud 
,자르다,cut 
,자리,seat
,자세히,details
,자식,child 
,자신,self 
,자연,nature 
,자유,freedom 
,자장면,jajangmyeon (food)
,자전거,bicycle
,자주,often
,자판기,vending machine
,작년,last year
,작다,small 
,잔,"cup, glass"
,잔치,"feast, party"
,잘,well 
,잘되다,go well
,잘못,wrong
,잘못되다,be wrong
,잘못하다,do wrong
,잘생기다,handsome
,잘하다,do well
,잠,sleep 
,잠깐,for a moment
,잠시,for a while
,잠자다,sleep
,잡다,catch 
,잡수시다,(honorific) eat
,잡지,magazine
,잡채,Japchae (food)
,장,a sheet 
,장갑,gloves 
,장난감,toy
,장마,rainy season 
,장미,rose 
,장소,place 
,재료,material 
,재미,fun 
,재미없다,not interesting
,재미있다,interesting
,재채기,sneeze
,저,that
,저,I
,저,well 
,저거,that
,저것,that
,저곳,over there
,저금,saving
,저기,there 
,저녁,dinner
,저런,that
,저렇다,like that
,저번,last
,저분,that person
,저쪽,there
,저희,us 
,적다,write
,적다,less 
,적당하다,suitable 
,전,all
,전,before
,전공,major
,전기,electricity 
,전부,all 
,전철,train 
,전체,all
,전하다,"deliver, hand down"
,전혀,at all 
,전화,phone
,전화기,cellphone
,전화번호,phone number
,젊다,young
,점수,score 
,점심,lunch
,점심때,at lunch
,점심시간,lunch time
,점점,gradually
,접다,fold 
,접시,dish
,젓가락,chopsticks
,정거장,"station, stop"
,정도,degree 
,정류장,"station, stop"
,정리,arrangement
,정말,really 
,정문,front door 
,정신없이,"hectically, frantically"
,정원,garden 
,정하다,decide 
,정형외과,orthopedics
,정확,exactness
,젖다,wet 
,제,my
,제목,title
,제일,best
,제주도,Jeju Island 
,조금,little 
,조금씩,gradually
,조심,be careful 
,조용하다,quiet 
,조용히,quietly
,조카,nephew
,졸다,sleep 
,졸업,graduate
,좀,little 
,좁다,narrow 
,종류,type
,종업원,"employee, worker"
,종이,paper 
,좋다,good 
,좋아하다,like
,죄송하다,sorry
,주,week
,주다,give 
,주로,mainly 
,주말,weekend
,주머니,pocket
,주무시다,(honorific) sleep
,주문,order 
,주변,"around, surrounding"
,주부,housewife 
,주사,injection 
,주소,address
,주스,juice
,주위,around 
,주인,master 
,주일,week
,주차,parking
,주차장,parking lot
,주황색,orange color
,죽다,die 
,준비,ready
,줄,a rope
,줄다,shrink
,줄이다,reduce
,줍다,"pick up, gather"
,중,in the middle of
,중간,middle 
,중국,China 
,중국집,Chinese restaurant
,중심,center 
,중앙,central
,중요,importance
,중학교,middle school
,중학생,middle schooler
,즐거워하다,have fun
,즐겁다,fun
,즐기다,enjoy 
,지각,late
,지갑,wallet 
,지금,now 
,지나가다,pass by
,지나다,pass
,지난달,last month
,지난번,last time
,지난주,last week
,지난해,last year
,지내다,stay 
,지다,lose 
,지도,map
,지루하다,bored 
,지르다,yell
,지방,region
,지우개,eraser
,지우다,delete 
,지키다,protect 
,지하,basement
,지하도,underpass
,지하철,subway
,지하철역,subway station
,직업,job
,직원,staff 
,직장,workplace 
,직접,directly
,진짜,really
,진하다,"thick, dense"
,질문,question
,짐,"luggage, cargo"
,집,house 
,집들이,housewarming
,집안일,housework
,짓다,build 
,짜다,salty
,짜증,annoyance
,짝,pair 
,짧다,short
,짬뽕,Champong (food)
,쪽,"direction, way"
,찌개,stew 
,찌다,gain
,찌다,steam 
,찍다,"set, stamp"
,차,car 
,차,tea
,차갑다,cold
,차다,"be full, be filled"
,차다,kick
,차다,wear (watch)
,차다,cold
,차례,"order, turn"
,착하다,kind
,찬물,cold water 
,참,very
,참다,suppress
,참외,melon 
,창문,window
,찾다,find
,찾아가다,to go to
,찾아보다,to look for
,찾아오다,come to
,채소,vegetable
,책,book 
,책상,desk 
,책장,bookshelf 
,처음,first
,천,thousand 
,천만,ten million 
,천천히,slowly
,첫,first
,첫날,first day
,첫째,first
,청년,youth
