,Frequency,한국어,English
266,333.0,끝,end 
267,376.0,끝나다,"(sth) end, finish"
268,1452.0,끝내다,finish (sth)
269,4331.0,끼다,wear
270,8.0,나,I
271,196.0,나가다,go out
272,304.0,나누다,"divide, split"
273,104.0,나다,happen
274,226.0,나라,country
275,1290.0,나머지,"remainder, the rest"
276,540.0,나무,tree
277,873.0,나쁘다,bad
278,50.0,나오다,come out
279,429.0,나이,age
280,1018.0,나중,later
281,160.0,나타나다,appear
282,11024.0,나흘,four days
283,2278.0,낚시,fishing
284,143.0,날,day
285,2230.0,날다,fly
286,1291.0,날씨,weather
287,,날씬하다,slim
288,7201.0,날아다니다,fly around
289,2994.0,날짜,date
290,360.0,남,other
291,1056.0,남기다,leave
292,1068.0,남녀,male and female
293,290.0,남다,"remain, be left"
294,,남대문,Namdaemun
295,9077.0,남동생,brother
296,,남산,Namsan
297,742.0,남성,male 
298,154.0,남자,man 
299,1598.0,남쪽,South
300,255.0,남편,husband 
301,5594.0,남학생,male student
302,3226.0,낫다,"recover, be better"
303,,낫다,better
304,1184.0,낮,daytime
305,974.0,낮다,low
306,,낮잠,nap
307,463.0,내,my 
308,10449.0,내과,internal medicine
309,1941.0,내년,next year
310,182.0,내다,"give, set"
311,1041.0,내려가다,go down
312,894.0,내려오다,come down
313,243.0,내리다,"get off, fall"
314,212.0,내용,content
315,3520.0,내일,tomorrow
316,4877.0,냄비,pot
317,1061.0,냄새,smell
318,13192.0,냉면,cold noodle
319,3311.0,냉장고,refrigerator
320,100.0,너,you
321,225.0,너무,too
322,1588.0,너희,your
323,638.0,넓다,wide
324,476.0,넘다,over
325,4332.0,넘어지다,fall down
326,219.0,넣다,"put, place, lay"
327,1304.0,네,you
328,,네,four
329,,네,yes
330,6766.0,넥타이,necktie
331,6980.0,넷,four
332,10452.0,넷째,fourth
333,26.0,년,year
334,8329.0,노란색,yellow color
335,3109.0,노랗다,yellow
336,487.0,노래,song 
337,3977.0,노래방,karaoke
338,494.0,노력,effort 
339,1086.0,노인,old man 
340,8031.0,노트,note
341,4265.0,녹색,green
342,16643.0,녹차,green tea 
343,418.0,놀다,play
344,594.0,놀라다,surprised
345,1177.0,놀이,"play, game"
346,9968.0,농구,basketball 
347,2856.0,농담,joke 
348,277.0,높다,high
349,2210.0,높이,height 
350,,높이,"high, highly"
351,151.0,놓다,"put, lay down"
352,114.0,누구,who
353,1140.0,누나,sister 
354,1599.0,누르다,press 
355,107.0,눈,eye
356,,눈,snow 
357,814.0,눈물,tears 
358,981.0,눕다,lie down 
359,914.0,뉴스,news
360,222.0,느끼다,feel 
361,401.0,느낌,feeling
362,3860.0,느리다,slow 
363,707.0,늘,"always, all the time"
364,1427.0,늘다,increase 
365,1658.0,늙다,old
366,502.0,능력,ability 
367,3630.0,늦다,late
368,89.0,다,all
369,1876.0,다녀오다,be back
370,284.0,다니다,to go
371,163.0,다르다,different 
372,82.0,다른,different 
373,747.0,다리,leg 
374,,다리,bridge
375,,다림질,ironing
376,7476.0,다섯,five
377,20314.0,다섯째,fifth
378,81.0,다시,again 
379,,다양,various
380,112.0,다음,next
381,,다음날,next day
382,11043.0,다이어트,diet
383,3110.0,다치다,hurt 
384,1506.0,다하다,fulfill
385,810.0,닦다,polish 
386,5470.0,단순,simple 
387,2192.0,단어,word
388,11684.0,단추,button 
389,13214.0,단풍,autumn leaves 
390,1959.0,닫다,close
391,1115.0,달,month 
392,2438.0,달걀,egg
393,1877.0,달다,sweet
394,5088.0,달력,calendar
395,4050.0,달리기,running
396,1790.0,달리다,run 
397,2857.0,닭,chicken
398,7478.0,닭고기,chicken meat
399,2211.0,닮다,resemble
400,679.0,담배,"tobacco, cigar"
401,4191.0,답,answer
402,2618.0,답답하다,stuffy
403,7738.0,답장,reply
404,5090.0,대,(unit of machines)
405,,대구,Daegu 
406,1453.0,대답,answer
407,391.0,대부분,most
408,5883.0,대사관,embassy
409,,대전,Daejeon 
410,261.0,대학,university 
411,4416.0,대학교,university
412,1944.0,대학생,college student
413,3268.0,대학원,graduate school
414,699.0,대화,conversation 
415,485.0,대회,competition 
416,1867.0,댁,home 
417,46.0,더,more
418,3269.0,더럽다,dirty
419,273.0,더욱,"more, even"
420,2892.0,덕분,thanks 
421,621.0,던지다,throw
422,2678.0,덥다,hot 
423,5094.0,데려가다,take
424,9529.0,데려오다,bring
425,5598.0,데이트,date
426,1198.0,도,degree
427,4417.0,도로,road 
428,1732.0,도서관,library
429,423.0,도시,city ​​
430,2194.0,도와주다,help
431,714.0,도움,help
432,9103.0,도착,arrival
433,4196.0,독서,reading 
434,,독일,Germany
435,140.0,돈,money 
436,,돈가스,pork cutlet
437,1375.0,돌,stone 
438,927.0,돌다,spin
439,6776.0,돌려주다,"give back, return"
440,505.0,돌리다,turn 
441,519.0,돌아가다,"rotate, return"
442,377.0,돌아오다,come back
443,1109.0,돕다,help
444,793.0,동네,"town, local"
445,,동대문,Dong Dae Moon
446,1294.0,동물,animal
447,12428.0,동물원,zoo
448,602.0,동생,brother 
449,529.0,동시,simultaneous
450,214.0,동안,while 
451,4503.0,동전,coin
452,2569.0,동쪽,east
453,2893.0,돼지,pig
454,4418.0,돼지고기,pork
455,5.0,되다,become 
456,,-되다,be (passive)
457,4994.0,된장,soybean paste
458,10482.0,된장찌개,soybean paste stew
459,63.0,두,two
460,2827.0,두껍다,thick
461,266.0,두다,put 
462,5603.0,두부,tofu
463,5473.0,두세,two to three
464,6394.0,두통,headache
465,575.0,둘,two 
466,1660.0,둘째,second
467,87.0,뒤,back 
468,5100.0,뒤쪽,(direction) back 
469,2078.0,드디어,finally
470,1237.0,드라마,drama
471,1460.0,드리다,give 
472,88.0,듣다,listen 
473,3142.0,들다,cost
474,,들다,lift 
475,1961.0,들르다,drop by
476,866.0,들리다,hear 
477,158.0,들어가다,enter
478,256.0,들어오다,come into
479,1019.0,등,(body) back
480,4996.0,등산,climbing
481,3036.0,디자인,design
482,1312.0,따뜻하다,warm
483,1313.0,따로,separately
484,625.0,딸,daughter 
485,8053.0,딸기,strawberry
486,1399.0,땀,sweat 
487,321.0,땅,land 
488,19.0,때,when 
489,327.0,떠나다,leave
490,2765.0,떠들다,talk 
491,1443.0,떡,rice cake 
492,18402.0,떡국,Rice cake soup
493,13255.0,떡볶이,"Tteokbokki, rice cake"
494,299.0,떨어지다,"drop, fall"
495,40.0,또,again 
496,250.0,또는,or
497,1376.0,똑같다,same
498,2622.0,똑같이,same
499,3864.0,똑똑하다,smart
500,5201.0,똑바로,straight
501,11721.0,뚱뚱하다,fat
502,1852.0,뛰다,run 
503,4598.0,뛰어가다,run
504,1178.0,뜨겁다,hot
505,1389.0,뜨다,open (eye)
506,296.0,뜻,meaning
507,1571.0,라디오,radio
508,2623.0,라면,Ramen 
509,,러시아,Russia
510,5892.0,레스토랑,restaurant
511,1617.0,마당,yard
512,1649.0,마르다,dry
513,1168.0,마리,(unit of animals)
514,365.0,마시다,drink
515,480.0,마을,village 
516,148.0,마음,heart 
517,8736.0,마중,meet
518,626.0,마지막,last
519,711.0,마치다,"finish, end"
520,,마트,mart
521,9548.0,마흔,forty
522,4421.0,막걸리,"Makgeolli, rice wine"
523,1344.0,막히다,blocked
524,811.0,만,ten thousand
525,166.0,만나다,meet
526,16774.0,만두,dumpling 
527,61.0,만들다,make
528,1134.0,만약,what if
529,1761.0,만일,just in case
530,2522.0,만지다,touch
531,2059.0,만화,cartoon 
532,43.0,많다,many
533,98.0,많이,a lot of
534,28.0,말,"talk, speak"
535,,말,horse 
536,,말,end
537,5343.0,말다,stop
538,,말레이시아,Malaysia
539,812.0,말씀,words
540,1077.0,맑다,clear 
541,390.0,맛,taste 
542,15475.0,맛없다,not delicious
543,1020.0,맛있다,delicious
544,378.0,맞다,right 
545,694.0,맞추다,"guess, adjust"
546,2767.0,매년,every year
547,3982.0,매다,"tie, fasten"
548,5897.0,매달,medal
549,393.0,매우,very 
550,1272.0,매일,everyday
551,6995.0,매주,weekly 
552,,매표소,ticket box
553,2861.0,맥주,beer
554,6050.0,맵다,spicy
555,288.0,머리,head 
556,3983.0,머리카락,hair
557,10015.0,먹다,eat 
558,283.0,먼저,first
559,718.0,멀다,far 
560,997.0,멀리,far 
561,1418.0,멈추다,stop
562,5346.0,멋,fashion 
563,5206.0,멋있다,cool
564,5002.0,메뉴,menu
565,6051.0,메다,carry
566,7231.0,메모,memo
567,3526.0,메시지,message
568,23197.0,메일,mail
569,1021.0,며칠,several days
570,77.0,명,person
571,3926.0,명절,holiday
572,3743.0,몇,"some, several"
573,6582.0,모기,mosquito 
574,708.0,모두,all 
575,137.0,모든,every
576,12460.0,모레,day after tomorrow
577,59.0,모르다,don't know
578,164.0,모습,appearance
579,1368.0,모시다,look after
580,464.0,모양,shape 
581,508.0,모으다,gather (sth)
582,610.0,모이다,be gathered
583,906.0,모임,meeting
584,4059.0,모자,hat
585,2829.0,모자라다,insufficient
586,1230.0,목,neck
587,10505.0,목걸이,necklace 
588,,목도리,scarf
589,486.0,목소리,voice
590,11099.0,목요일,thursday
591,3808.0,목욕,bath
592,5749.0,목욕탕,bathhouse
593,740.0,목적,purpose
594,156.0,몸,body 
595,3745.0,못,can't
596,11104.0,못생기다,ugly
597,495.0,못하다,can't do
598,,몽골,Mongolia
599,3687.0,무,radish
600,1662.0,무겁다,heavy
601,2442.0,무게,weight
602,6405.0,무궁화,Mugunghwa
603,3688.0,무료,free
604,1637.0,무릎,knee
605,1051.0,무섭다,scary
606,221.0,무슨,what
607,135.0,무엇,"what, anything"
608,1169.0,무척,very 
609,469.0,문,door 
610,53.0,문제,problem
611,73.0,문화,culture
612,2282.0,묻다,ask 
613,165.0,물,water 
614,560.0,물건,thing
615,3579.0,물고기,fish
616,213.0,물론,of course
617,1483.0,물어보다,ask
618,108.0,뭐,what
619,,미국,USA
620,5753.0,미끄러지다,slip
621,1298.0,미래,future
622,1242.0,미리,in advance 
623,3748.0,미술관,art gallery
624,,미안,sorry 
625,,미역국,seaweed soup
626,44499.0,미용실,beauty salon
627,843.0,미터,meter
628,431.0,믿다,"trust, believe"
629,2625.0,밀가루,flour
630,1485.0,밀다,push 
631,652.0,밑,bottom 
632,2626.0,바깥,outside
633,5904.0,바깥쪽,the outside
634,432.0,바꾸다,change (something)
635,759.0,바뀌다,be changed
636,7773.0,바나나,banana
637,488.0,바다,ocean
638,1327.0,바닥,floor 
639,2959.0,바닷가,beach
640,583.0,바라다,hope 
641,387.0,바라보다,look at
642,1663.0,바람,wind 
643,132.0,바로,right 
644,1497.0,바르다,apply (location)
645,868.0,바쁘다,busy
646,3928.0,바이올린,violin
647,2627.0,바지,pants 
648,1517.0,박물관,museum
649,3148.0,박수,"applause, clap"
650,257.0,밖,outside
651,834.0,반,half
652,,반,class 
653,1868.0,반갑다,"glad, welcome"
654,1218.0,반대,the opposite
655,781.0,반드시,"certainly, definitely"
656,,반바지,shorts
657,6060.0,반지,ring 
658,3352.0,반찬,side dish
659,47.0,받다,receive 
660,,받아쓰다,dictate
661,564.0,발,foot 
662,4602.0,발가락,toes
663,9145.0,발바닥,sole
664,8753.0,밝다,bright
665,276.0,밤,night 
666,353.0,밥,"rice, meal"
667,318.0,방,room 
668,2802.0,방금,just 
669,4427.0,방문,door 
670,,방문,visit
671,179.0,방법,"way, method"
672,538.0,방송,broadcast
673,2004.0,방송국,broadcast station
674,1581.0,방학,vacation
675,484.0,방향,direction 
676,850.0,배,belly
677,,배,ship 
678,,배,pear
679,,배,(two) times
680,7249.0,배달,delivery 
681,8756.0,배드민턴,badminton
682,2197.0,배우,actor 
683,441.0,배우다,learn 
684,4129.0,배추,cabbage 
685,,배탈,stomachache 
686,15575.0,백,one hundred 
687,,백만,million
688,1974.0,백화점,department store
689,4897.0,뱀,snake
690,2383.0,버릇,habit
691,704.0,버리다,throw away 
692,719.0,버스,bus 
693,138.0,번,number 
694,774.0,번째,(number)-th
695,4276.0,번호,number 
696,4898.0,벌,(unit of clothes)
697,1087.0,벌다,earn 
698,686.0,벌써,already
699,1104.0,벗다,Take off
700,,베트남,Vietnam
701,1199.0,벽,wall 
702,690.0,변하다,change
703,3280.0,변호사,lawyer
704,1346.0,별,star
705,801.0,별로,not very 
706,1306.0,병,"sick, disease"
707,,병,bottle 
708,,병문안,visit (a sick person)
709,628.0,병원,hospital 
710,265.0,보내다,send
711,21.0,보다,"see, watch"
712,,보다,more
713,16935.0,보라색,purple
714,93.0,보이다,be seen
715,,보이다,show
716,1794.0,보통,"usually, average"
717,18638.0,복습,review
718,1347.0,복잡하다,complex
719,1698.0,볶다,fry
720,8090.0,볶음밥,fried rice
721,9583.0,볼펜,ballpoint pen 
722,972.0,봄,spring 
723,2741.0,봉투,envelope 
724,4609.0,뵙다,(honorific) meet
725,2356.0,부끄럽다,embarrassed
726,1062.0,부드럽다,soft
727,2412.0,부럽다,envy
728,227.0,부르다,call 
729,,부르다,full
730,1160.0,부모님,parents
731,977.0,부부,couple 
732,291.0,부분,part 
733,,부산,Busan 
734,2159.0,부엌,kitchen
735,1619.0,부인,wife 
736,3150.0,부자,the rich
737,2413.0,부장,manager
738,1869.0,부족,lack 
739,10068.0,부지런하다,diligent
740,4611.0,부치다,send 
741,3582.0,부탁,request
742,2179.0,북쪽,north
743,499.0,분,person
744,,분,minute
745,958.0,분명하다,clear 
746,,분식,"bunsik, snacks "
747,425.0,분위기,atmosphere
748,11819.0,분홍색,pink
749,506.0,불,fire 
750,3754.0,불고기,bulgogi (food)
751,1263.0,불다,blow 
752,3188.0,불쌍하다,pitiful
753,1992.0,불안,anxiety 
754,4062.0,불편,discomfort 
755,1946.0,붉다,red 
756,734.0,붙다,"stick, paste"
757,705.0,붙이다,"stick, paste"
758,7795.0,블라우스,blouse
759,592.0,비,rain 
760,2596.0,비교,comparison
761,6608.0,비누,soap
762,900.0,비다,empty
763,1882.0,비디오,video
764,1357.0,비밀,secret
765,13411.0,비빔밥,bibimbap (mixed rice)
766,760.0,비슷하다,similar
767,1819.0,비싸다,expensive
768,1171.0,비행기,airplane
769,6076.0,빌딩,building
770,1315.0,빌리다,borrow
771,613.0,빠르다,fast
772,1220.0,빠지다,fall in
773,9605.0,빨간색,read color
774,2385.0,빨갛다,red
775,5223.0,빨다,"wash, clean"
776,2632.0,빨래,wash
777,572.0,빨리,hurry
778,2130.0,빵,bread 
779,,빵집,bakery
780,998.0,빼다,"subtract, remove"
781,1238.0,뽑다,pull out
782,11837.0,사,four
783,,사거리,intersection
784,8407.0,사계절,four seasons
785,691.0,사고,accident 
786,3237.0,사과,apple 
787,3238.0,사귀다,date
788,199.0,사다,buy
789,12.0,사람,person
790,373.0,사랑,love 
791,1781.0,사무실,office
792,103.0,사실,fact
793,15648.0,사십,fourty
794,520.0,사업,business
795,1026.0,사용,usage
796,1006.0,사월,April 
797,178.0,사이,between 
798,,사이다,cider (beverage)
799,,사이즈,size 
800,1116.0,사장,president 
801,2653.0,사전,dictionary 
802,728.0,사진,picture 
803,20886.0,사탕,candy 
804,3151.0,사흘,three days
805,465.0,산,mountain 
806,4802.0,산책,walk
807,2234.0,살,weight
808,,살,year old
809,55.0,살다,live 
810,5923.0,삼,three
811,,삼거리,3-way intersection
812,,삼겹살,pork belly
813,12569.0,삼계탕,samgyetang (food)
814,18764.0,삼십,thirty
815,1117.0,삼월,March
816,5117.0,삼촌,uncle
817,3116.0,상,award
818,3587.0,상자,box 
819,1752.0,상처,wound 
820,9184.0,상추,lettuce 
821,963.0,상품,product
822,3117.0,새,bird 
823,,새,new
824,968.0,새로,newly
825,180.0,새롭다,"new, fresh"
826,1045.0,새벽,dawn 
827,3588.0,새해,new year
828,1358.0,색,color 
829,1603.0,색깔,color
830,3005.0,샌드위치,sandwich
831,75.0,생각,thought 
832,2064.0,생각나다,think of
833,253.0,생기다,be formed
834,2803.0,생선,fish
835,12576.0,생신,(honorific) birthday 
836,1963.0,생일,birthday 
837,174.0,생활,life
838,8795.0,샤워,shower
839,3240.0,서너,three or four
840,206.0,서다,stand 
841,1620.0,서두르다,hurry
842,7274.0,서랍,drawer
843,311.0,서로,each other 
844,3006.0,서류,document
845,12580.0,서른,thirty
846,1331.0,서비스,service
847,1057.0,서양,western
848,,서울,Seoul 
849,5229.0,서점,bookstore 
850,3152.0,서쪽,west
851,1921.0,섞다,mix
852,1741.0,선물,gift 
853,1122.0,선배,senior
854,204.0,선생님,teacher
855,,선선하다,cool 
856,831.0,선수,player 
857,2316.0,선택,select
858,10100.0,선풍기,fan
859,6435.0,설거지,dish wash
860,4704.0,설날,(Lunar) New Year
861,23768.0,설렁탕,(food) seolleongtang
862,965.0,설명,explanation
863,2236.0,설탕,sugar
864,1964.0,섬,island
865,4617.0,섭섭하다,"sorry, regrettable"
866,5768.0,성,family name
867,404.0,성격,personality 
868,2357.0,성공,success
869,6619.0,성적,grade 
870,18828.0,성함,name
871,413.0,세,three
872,,세,age
873,120.0,세계,world 
874,3820.0,세다,strong
875,,세배,New year's bow
876,258.0,세상,world 
877,6621.0,세수,wash up
878,407.0,세우다,stand 
879,8116.0,세탁,laundry
880,8809.0,세탁기,washing machine
881,18841.0,세탁소,"laundry, washhouse"
882,4132.0,센터,center
883,956.0,센티미터,centimeter
884,2771.0,셋,three
885,5023.0,셋째,third
886,2415.0,소,cow
887,3416.0,소개,introduction 
888,,소고기,beef
889,1221.0,소금,salt 
890,80.0,소리,sound 
891,604.0,소설,novel 
892,1079.0,소식,news 
893,2772.0,소주,soju (beverage)
894,1993.0,소중하다,precious
895,4073.0,소파,sofa 
896,11884.0,소포,parcel
897,5121.0,소풍,picnic 
898,,소화제,digestive medicine
899,60.0,속,inside
900,1072.0,속도,speed 
901,5122.0,속옷,underwear
902,185.0,손,hand 
903,1273.0,손가락,finger
904,11888.0,손녀,granddaughter
905,902.0,손님,guest
906,2773.0,손바닥,palm
907,8121.0,손수건,handkerchief
908,8813.0,송편,songpyeon (cake)
909,9202.0,쇼핑,shopping
910,6.0,수,number 
911,4527.0,수건,towel
912,7816.0,수고,hard work 
913,4353.0,수박,watermelon 
914,1722.0,수술,surgery 
915,9208.0,수업,lesson
916,2899.0,수영,swimming 
917,,수영복,swimsuit
918,11896.0,수영장,swimming pool
919,7818.0,수요일,Wednesday
920,8438.0,수저,spoon 
921,,수첩,notebook 
922,1627.0,숙제,homework 
923,,순두부찌개,tofu stew (food)
924,1948.0,순서,order
925,7561.0,숟가락,spoon 
926,372.0,술,alcohol 
927,2387.0,술집,bar
928,1820.0,숫자,number
929,992.0,쉬다,rest 
930,,쉬다,breathe
931,27846.0,쉰,fifty 
932,246.0,쉽다,easy
933,6447.0,슈퍼마켓,supermarket
934,4078.0,스무,twenty
935,10126.0,스물,twenty
936,614.0,스스로,oneself
937,6628.0,스웨터,sweater
938,,스카프,scarf
939,17164.0,스케이트,skate
940,9214.0,스키,ski
941,10634.0,스키장,ski resort
942,1676.0,스타,star
943,1486.0,스트레스,stress
944,,스파게티,pasta
945,1689.0,스포츠,sports
946,7822.0,슬퍼하다,sorrow
947,2284.0,슬프다,sad
948,2804.0,슬픔,sadness
949,1742.0,습관,habit
950,2657.0,시,city
951,,시,hour
952,551.0,시간,time 
953,,시간표,schedule
954,1677.0,시계,watch 
955,1539.0,시골,countryside
956,4809.0,시끄럽다,noisy
957,2340.0,시내,downtown 
958,,시다,"sour, acidic"
959,611.0,시민,citizen
960,3824.0,시어머니,mother-in-law
961,1844.0,시원하다,cool
962,1509.0,시월,October 
963,1454.0,시작,start
964,5513.0,시장,market
965,5639.0,시청,city hall
966,876.0,시키다,ask someone to
967,639.0,시험,exam
968,1556.0,식구,family member
969,3878.0,식다,"cool off, get cold "
970,1393.0,식당,restaurant
971,4711.0,식빵,bread
972,928.0,식사,meal 
973,6091.0,식초,vinegar
974,2932.0,식탁,table
975,1723.0,식품,food
976,2715.0,신다,put on
977,3156.0,신랑,groom 
978,513.0,신문,newspaper 
979,2199.0,신발,shoes
980,7054.0,신부,bride 
981,,신분증,ID card
982,2658.0,신선하다,fresh 
983,2359.0,신청,application 
984,2868.0,신호,signal 
985,6269.0,신호등,traffic light
986,6270.0,신혼여행,honeymoon
